Name () (71c),Pos () (71c),Team () (71c),Injury () (71d),Return Date () (71d),Date Injured () (71d)
Christian Braun,SF,Denver Nuggets,,,
Peyton Watson,SF,Denver Nuggets,,,
Julian Strawther,SF,Denver Nuggets,,,
Hunter Tyson,SF,Denver Nuggets,,,
Spencer Jones,SF,Denver Nuggets,,,
Christian Braun,SG,Denver Nuggets,,,
Julian Strawther,SG,Denver Nuggets,,,
Jalen Pickett,SG,Denver Nuggets,,,
Jamal Murray,SG,Denver Nuggets,,,
Trey Alexander,SG,Denver Nuggets,,,
Spencer Jones,SG,Denver Nuggets,,,
Adem Bona,C,Philadelphia 76ers,,,
Guerschon Yabusele,C,Philadelphia 76ers,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Isaiah Mobley,C,Philadelphia 76ers,,,
Alex Reese,C,Philadelphia 76ers,,,
Andre Drummond,C,Philadelphia 76ers,Toe,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Joel Embiid,C,Philadelphia 76ers,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Guerschon Yabusele,PF,Philadelphia 76ers,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Ricky Council IV,PF,Philadelphia 76ers,,,
Marcus Bagley,PF,Philadelphia 76ers,,,
Justin Edwards,PF,Philadelphia 76ers,Ribs,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Alex Reese,PF,Philadelphia 76ers,,,
Isaiah Mobley,PF,Philadelphia 76ers,,,
Kelly Oubre Jr.,PF,Philadelphia 76ers,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Paul George,PF,Philadelphia 76ers,Groin,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Jared Butler,PG,Philadelphia 76ers,,,
Kyle Lowry,PG,Philadelphia 76ers,Hip,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Jeff Dowtin,PG,Philadelphia 76ers,,,
Quentin Grimes,PG,Philadelphia 76ers,,,
Jalen Hood-Schifino,PG,Philadelphia 76ers,,,
Tyrese Maxey,PG,Philadelphia 76ers,Finger,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Jared McCain,PG,Philadelphia 76ers,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Kelly Oubre Jr.,SF,Philadelphia 76ers,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Justin Edwards,SF,Philadelphia 76ers,Ribs,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Lonnie Walker IV,SF,Philadelphia 76ers,,,
Ricky Council IV,SF,Philadelphia 76ers,,,
Marcus Bagley,SF,Philadelphia 76ers,,,
Quentin Grimes,SF,Philadelphia 76ers,,,
Paul George,SF,Philadelphia 76ers,Groin,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Eric Gordon,SF,Philadelphia 76ers,Wrist,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Quentin Grimes,SG,Philadelphia 76ers,,,
Lonnie Walker IV,SG,Philadelphia 76ers,,,
Kelly Oubre Jr.,SG,Philadelphia 76ers,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Kyle Lowry,SG,Philadelphia 76ers,Hip,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Jared Butler,SG,Philadelphia 76ers,,,
Jeff Dowtin,SG,Philadelphia 76ers,,,
Ricky Council IV,SG,Philadelphia 76ers,,,
Jalen Hood-Schifino,SG,Philadelphia 76ers,,,
Jared McCain,SG,Philadelphia 76ers,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Paul George,SG,Philadelphia 76ers,Groin,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Eric Gordon,SG,Philadelphia 76ers,Wrist,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Nicolas Claxton,C,Brooklyn Nets,,,
Day'Ron Sharpe,C,Brooklyn Nets,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Drew Timme,C,Brooklyn Nets,,,
Trendon Watford,C,Brooklyn Nets,,,
Noah Clowney,C,Brooklyn Nets,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Cameron Johnson,PF,Brooklyn Nets,Back,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Trendon Watford,PF,Brooklyn Nets,,,
Tosan Evbuomwan,PF,Brooklyn Nets,,,
Jalen Wilson,PF,Brooklyn Nets,,,
Drew Timme,PF,Brooklyn Nets,,,
Maxwell Lewis,PF,Brooklyn Nets,,,
Ziaire Williams,PF,Brooklyn Nets,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Dariq Whitehead,PF,Brooklyn Nets,,,
Noah Clowney,PF,Brooklyn Nets,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
D'Angelo Russell,PG,Brooklyn Nets,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Keon Johnson,PG,Brooklyn Nets,,,
Reece Beekman,PG,Brooklyn Nets,Calf,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Tyson Etienne,PG,Brooklyn Nets,,,
Cameron Thomas,PG,Brooklyn Nets,Hamstring,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
De'Anthony Melton,PG,Brooklyn Nets,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Ziaire Williams,SF,Brooklyn Nets,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Maxwell Lewis,SF,Brooklyn Nets,,,
Tosan Evbuomwan,SF,Brooklyn Nets,,,
Jalen Wilson,SF,Brooklyn Nets,,,
Cameron Johnson,SF,Brooklyn Nets,Back,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Dariq Whitehead,SF,Brooklyn Nets,,,
Tyrese Martin,SF,Brooklyn Nets,,,
Noah Clowney,SF,Brooklyn Nets,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Cameron Thomas,SF,Brooklyn Nets,Hamstring,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
De'Anthony Melton,SF,Brooklyn Nets,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Keon Johnson,SG,Brooklyn Nets,,,
Dariq Whitehead,SG,Brooklyn Nets,,,
Tyrese Martin,SG,Brooklyn Nets,,,
Jalen Wilson,SG,Brooklyn Nets,,,
Ziaire Williams,SG,Brooklyn Nets,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
D'Angelo Russell,SG,Brooklyn Nets,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Tyson Etienne,SG,Brooklyn Nets,,,
Tosan Evbuomwan,SG,Brooklyn Nets,,,
Cameron Thomas,SG,Brooklyn Nets,Hamstring,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
De'Anthony Melton,SG,Brooklyn Nets,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Domantas Sabonis,C,Sacramento Kings,,,
Jonas Valanciunas,C,Sacramento Kings,,,
Trey Lyles,C,Sacramento Kings,,,
Isaac Jones,C,Sacramento Kings,,,
Jae Crowder,C,Sacramento Kings,,,
Keegan Murray,PF,Sacramento Kings,,,
Trey Lyles,PF,Sacramento Kings,,,
Jake LaRavia,PF,Sacramento Kings,Thumb,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Isaac Jones,PF,Sacramento Kings,,,
Doug McDermott,PF,Sacramento Kings,,,
DeMar DeRozan,PF,Sacramento Kings,,,
Jae Crowder,PF,Sacramento Kings,,,
Isaiah Crawford,PF,Sacramento Kings,,,
Keon Ellis,PG,Sacramento Kings,,,
Devin Carter,PG,Sacramento Kings,,,
Markelle Fultz,PG,Sacramento Kings,,,
Malik Monk,PG,Sacramento Kings,Calf,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
DeMar DeRozan,SF,Sacramento Kings,,,
Jake LaRavia,SF,Sacramento Kings,Thumb,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Doug McDermott,SF,Sacramento Kings,,,
Zach LaVine,SF,Sacramento Kings,,,
Keegan Murray,SF,Sacramento Kings,,,
Terence Davis,SF,Sacramento Kings,,,
Keon Ellis,SF,Sacramento Kings,,,
Jae Crowder,SF,Sacramento Kings,,,
Malik Monk,SF,Sacramento Kings,Calf,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Mason Jones,SF,Sacramento Kings,,,
Isaiah Crawford,SF,Sacramento Kings,,,
Zach LaVine,SG,Sacramento Kings,,,
Keon Ellis,SG,Sacramento Kings,,,
Devin Carter,SG,Sacramento Kings,,,
Terence Davis,SG,Sacramento Kings,,,
Doug McDermott,SG,Sacramento Kings,,,
Malik Monk,SG,Sacramento Kings,Calf,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Mason Jones,SG,Sacramento Kings,,,
Kel'el Ware,C,Miami Heat,,,
Bam Adebayo,C,Miami Heat,,,
Nikola Jovic,C,Miami Heat,,,
Kevin Love,C,Miami Heat,,,
Bam Adebayo,PF,Miami Heat,,,
Nikola Jovic,PF,Miami Heat,,,
Haywood Highsmith,PF,Miami Heat,,,
Kyle Anderson,PF,Miami Heat,,,
Andrew Wiggins,PF,Miami Heat,,,
Jaime Jaquez Jr.,PF,Miami Heat,,,
Kevin Love,PF,Miami Heat,,,
Duncan Robinson,PF,Miami Heat,,,
Keshad Johnson,PF,Miami Heat,,,
Tyler Herro,PG,Miami Heat,,,
Davion Mitchell,PG,Miami Heat,,,
Terry Rozier,PG,Miami Heat,Ankle,Out|Expected To Be Out Until At Least Oct 1,5/1/2025
Alec Burks,PG,Miami Heat,,,
Duncan Robinson,PG,Miami Heat,,,
Dru Smith,PG,Miami Heat,Achilles,Out|Expected To Be Out Until At Least Oct 1,12/24/2025
Isaiah Stevens,PG,Miami Heat,Foot,Out|Expected To Be Out Until At Least Jul 2,4/29/2025
Josh Christopher,PG,Miami Heat,,,
Andrew Wiggins,SF,Miami Heat,,,
Haywood Highsmith,SF,Miami Heat,,,
Pelle Larsson,SF,Miami Heat,,,
Duncan Robinson,SF,Miami Heat,,,
Jaime Jaquez Jr.,SF,Miami Heat,,,
Alec Burks,SF,Miami Heat,,,
Kyle Anderson,SF,Miami Heat,,,
Keshad Johnson,SF,Miami Heat,,,
Josh Christopher,SF,Miami Heat,,,
Davion Mitchell,SG,Miami Heat,,,
Duncan Robinson,SG,Miami Heat,,,
Pelle Larsson,SG,Miami Heat,,,
Alec Burks,SG,Miami Heat,,,
Jaime Jaquez Jr.,SG,Miami Heat,,,
Terry Rozier,SG,Miami Heat,Ankle,Out|Expected To Be Out Until At Least Oct 1,5/1/2025
Tyler Herro,SG,Miami Heat,,,
Dru Smith,SG,Miami Heat,Achilles,Out|Expected To Be Out Until At Least Oct 1,12/24/2025
Josh Christopher,SG,Miami Heat,,,
Draymond Green,C,Golden State Warriors,,,
Kevon Looney,C,Golden State Warriors,,,
Trayce Jackson-Davis,C,Golden State Warriors,,,
Quinten Post,C,Golden State Warriors,,,
Jimmy Butler,PF,Golden State Warriors,,,
Jonathan Kuminga,PF,Golden State Warriors,,,
Draymond Green,PF,Golden State Warriors,,,
Gui Santos,PF,Golden State Warriors,,,
Moses Moody,PF,Golden State Warriors,Thumb,Out|Expected To Be Out Until At Least Oct 1,5/22/2025
Kevin Knox,PF,Golden State Warriors,,,
Braxton Key,PF,Golden State Warriors,,,
Jackson Rowe,PF,Golden State Warriors,,,
Stephen Curry,PG,Golden State Warriors,Hamstring,Out|Expected To Be Out Until At Least Oct 1,5/15/2025
Brandin Podziemski,PG,Golden State Warriors,Wrist,Out|Expected To Be Out Until At Least Oct 1,5/28/2025
Pat Spencer,PG,Golden State Warriors,,,
Moses Moody,PG,Golden State Warriors,Thumb,Out|Expected To Be Out Until At Least Oct 1,5/22/2025
Taran Armstrong,PG,Golden State Warriors,,,
Buddy Hield,SF,Golden State Warriors,,,
Gary Payton II,SF,Golden State Warriors,,,
Moses Moody,SF,Golden State Warriors,Thumb,Out|Expected To Be Out Until At Least Oct 1,5/22/2025
Gui Santos,SF,Golden State Warriors,,,
Jimmy Butler,SF,Golden State Warriors,,,
Kevin Knox,SF,Golden State Warriors,,,
Jonathan Kuminga,SF,Golden State Warriors,,,
Braxton Key,SF,Golden State Warriors,,,
Jackson Rowe,SF,Golden State Warriors,,,
Brandin Podziemski,SG,Golden State Warriors,Wrist,Out|Expected To Be Out Until At Least Oct 1,5/28/2025
Moses Moody,SG,Golden State Warriors,Thumb,Out|Expected To Be Out Until At Least Oct 1,5/22/2025
Gary Payton II,SG,Golden State Warriors,,,
Buddy Hield,SG,Golden State Warriors,,,
Pat Spencer,SG,Golden State Warriors,,,
Gui Santos,SG,Golden State Warriors,,,
Taran Armstrong,SG,Golden State Warriors,,,
Nikola Vucevic,C,Chicago Bulls,,,
Zach Collins,C,Chicago Bulls,,,
Jalen Smith,C,Chicago Bulls,,,
E.J. Liddell,C,Chicago Bulls,,,
Matas Buzelis,PF,Chicago Bulls,,,
Patrick Williams,PF,Chicago Bulls,,,
Julian Phillips,PF,Chicago Bulls,,,
Dalen Terry,PF,Chicago Bulls,,,
Zach Collins,PF,Chicago Bulls,,,
Talen Horton-Tucker,PF,Chicago Bulls,,,
Jalen Smith,PF,Chicago Bulls,,,
Emanuel Miller,PF,Chicago Bulls,,,
E.J. Liddell,PF,Chicago Bulls,,,
Ayo Dosunmu,PF,Chicago Bulls,Shoulder,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Josh Giddey,PG,Chicago Bulls,,,
Tre Jones,PG,Chicago Bulls,Foot,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Coby White,PG,Chicago Bulls,,,
Jevon Carter,PG,Chicago Bulls,,,
Talen Horton-Tucker,PG,Chicago Bulls,,,
Lonzo Ball,PG,Chicago Bulls,Wrist,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Jahmir Young,PG,Chicago Bulls,,,
Ayo Dosunmu,PG,Chicago Bulls,Shoulder,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Coby White,SF,Chicago Bulls,,,
Dalen Terry,SF,Chicago Bulls,,,
Julian Phillips,SF,Chicago Bulls,,,
Kevin Huerter,SF,Chicago Bulls,,,
Josh Giddey,SF,Chicago Bulls,,,
Patrick Williams,SF,Chicago Bulls,,,
Talen Horton-Tucker,SF,Chicago Bulls,,,
Matas Buzelis,SF,Chicago Bulls,,,
Emanuel Miller,SF,Chicago Bulls,,,
Ayo Dosunmu,SF,Chicago Bulls,Shoulder,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Lonzo Ball,SG,Chicago Bulls,Wrist,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Kevin Huerter,SG,Chicago Bulls,,,
Coby White,SG,Chicago Bulls,,,
Dalen Terry,SG,Chicago Bulls,,,
Talen Horton-Tucker,SG,Chicago Bulls,,,
Jevon Carter,SG,Chicago Bulls,,,
Ayo Dosunmu,SG,Chicago Bulls,Shoulder,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Ivica Zubac,C,Los Angeles Clippers,,,
Ben Simmons,C,Los Angeles Clippers,,,
Nicolas Batum,C,Los Angeles Clippers,,,
Drew Eubanks,C,Los Angeles Clippers,,,
Kobe Brown,C,Los Angeles Clippers,,,
Kawhi Leonard,C,Los Angeles Clippers,,,
Kawhi Leonard,PF,Los Angeles Clippers,,,
Nicolas Batum,PF,Los Angeles Clippers,,,
Derrick Jones Jr.,PF,Los Angeles Clippers,,,
Amir Coffey,PF,Los Angeles Clippers,,,
Kobe Brown,PF,Los Angeles Clippers,,,
Ben Simmons,PF,Los Angeles Clippers,,,
Patrick Baldwin Jr.,PF,Los Angeles Clippers,,,
James Harden,PG,Los Angeles Clippers,,,
Kris Dunn,PG,Los Angeles Clippers,,,
Ben Simmons,PG,Los Angeles Clippers,,,
Patty Mills,PG,Los Angeles Clippers,,,
Norman Powell,PG,Los Angeles Clippers,,,
Norman Powell,SF,Los Angeles Clippers,,,
Derrick Jones Jr.,SF,Los Angeles Clippers,,,
Amir Coffey,SF,Los Angeles Clippers,,,
Bogdan Bogdanovic,SF,Los Angeles Clippers,,,
Kawhi Leonard,SF,Los Angeles Clippers,,,
Jordan Miller,SF,Los Angeles Clippers,,,
Kris Dunn,SF,Los Angeles Clippers,,,
Nicolas Batum,SF,Los Angeles Clippers,,,
Kobe Brown,SF,Los Angeles Clippers,,,
Cam Christie,SF,Los Angeles Clippers,,,
Trentyn Flowers,SF,Los Angeles Clippers,,,
Patrick Baldwin Jr.,SF,Los Angeles Clippers,,,
Seth Lundy,SF,Los Angeles Clippers,Ankle,Out|Expected To Be Out Until At Least Jul 2,5/4/2025
Kris Dunn,SG,Los Angeles Clippers,,,
Bogdan Bogdanovic,SG,Los Angeles Clippers,,,
Norman Powell,SG,Los Angeles Clippers,,,
Amir Coffey,SG,Los Angeles Clippers,,,
Jordan Miller,SG,Los Angeles Clippers,,,
James Harden,SG,Los Angeles Clippers,,,
Cam Christie,SG,Los Angeles Clippers,,,
Patty Mills,SG,Los Angeles Clippers,,,
Trentyn Flowers,SG,Los Angeles Clippers,,,
Seth Lundy,SG,Los Angeles Clippers,Ankle,Out|Expected To Be Out Until At Least Jul 2,5/4/2025
Nick Richards,C,Phoenix Suns,Elbow,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Oso Ighodaro,C,Phoenix Suns,,,
Mason Plumlee,C,Phoenix Suns,,,
Bol Bol,C,Phoenix Suns,,,
Kevin Durant,C,Phoenix Suns,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Ryan Dunn,PF,Phoenix Suns,,,
Royce O'Neale,PF,Phoenix Suns,,,
Cody Martin,PF,Phoenix Suns,,,
Bol Bol,PF,Phoenix Suns,,,
Oso Ighodaro,PF,Phoenix Suns,,,
Jalen Bridges,PF,Phoenix Suns,,,
Mason Plumlee,PF,Phoenix Suns,,,
Kevin Durant,PF,Phoenix Suns,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Devin Booker,PG,Phoenix Suns,Calf,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Tyus Jones,PG,Phoenix Suns,,,
Collin Gillespie,PG,Phoenix Suns,,,
TyTy Washington Jr.,PG,Phoenix Suns,,,
Monte Morris,PG,Phoenix Suns,,,
Vasilije Micic,PG,Phoenix Suns,,,
Bradley Beal,PG,Phoenix Suns,,,
Grayson Allen,PG,Phoenix Suns,,,
Grayson Allen,SF,Phoenix Suns,,,
Cody Martin,SF,Phoenix Suns,,,
Ryan Dunn,SF,Phoenix Suns,,,
Royce O'Neale,SF,Phoenix Suns,,,
Bradley Beal,SF,Phoenix Suns,,,
Damion Lee,SF,Phoenix Suns,,,
Jalen Bridges,SF,Phoenix Suns,,,
Kevin Durant,SF,Phoenix Suns,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Bradley Beal,SG,Phoenix Suns,,,
Collin Gillespie,SG,Phoenix Suns,,,
Grayson Allen,SG,Phoenix Suns,,,
Devin Booker,SG,Phoenix Suns,Calf,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Cody Martin,SG,Phoenix Suns,,,
Damion Lee,SG,Phoenix Suns,,,
Ryan Dunn,SG,Phoenix Suns,,,
Vasilije Micic,SG,Phoenix Suns,,,
Royce O'Neale,SG,Phoenix Suns,,,
Brook Lopez,C,Milwaukee Bucks,,,
Jericho Sims,C,Milwaukee Bucks,,,
Bobby Portis,C,Milwaukee Bucks,,,
Giannis Antetokounmpo,C,Milwaukee Bucks,,,
Chris Livingston,C,Milwaukee Bucks,,,
Tyler Smith,C,Milwaukee Bucks,Ankle,Out|Expected To Be Out Until At Least Jul 2,4/29/2025
Pete Nance,C,Milwaukee Bucks,,,
Giannis Antetokounmpo,PF,Milwaukee Bucks,,,
Bobby Portis,PF,Milwaukee Bucks,,,
Kyle Kuzma,PF,Milwaukee Bucks,,,
Taurean Prince,PF,Milwaukee Bucks,,,
Pat Connaughton,PF,Milwaukee Bucks,,,
Tyler Smith,PF,Milwaukee Bucks,Ankle,Out|Expected To Be Out Until At Least Jul 2,4/29/2025
Chris Livingston,PF,Milwaukee Bucks,,,
Pete Nance,PF,Milwaukee Bucks,,,
Kevin Porter Jr.,PG,Milwaukee Bucks,,,
Ryan Rollins,PG,Milwaukee Bucks,,,
AJ Green,PG,Milwaukee Bucks,,,
Andre Jackson Jr.,PG,Milwaukee Bucks,,,
Jamaree Bouyea,PG,Milwaukee Bucks,,,
Damian Lillard,PG,Milwaukee Bucks,Achilles,Out|Expected To Be Out Until At Least Feb 1,5/16/2025
Kyle Kuzma,SF,Milwaukee Bucks,,,
Taurean Prince,SF,Milwaukee Bucks,,,
Gary Trent Jr.,SF,Milwaukee Bucks,,,
Andre Jackson Jr.,SF,Milwaukee Bucks,,,
Pat Connaughton,SF,Milwaukee Bucks,,,
Chris Livingston,SF,Milwaukee Bucks,,,
Tyler Smith,SF,Milwaukee Bucks,Ankle,Out|Expected To Be Out Until At Least Jul 2,4/29/2025
Giannis Antetokounmpo,SF,Milwaukee Bucks,,,
Stanley Umude,SF,Milwaukee Bucks,,,
Gary Trent Jr.,SG,Milwaukee Bucks,,,
AJ Green,SG,Milwaukee Bucks,,,
Taurean Prince,SG,Milwaukee Bucks,,,
Andre Jackson Jr.,SG,Milwaukee Bucks,,,
Kevin Porter Jr.,SG,Milwaukee Bucks,,,
Ryan Rollins,SG,Milwaukee Bucks,,,
Pat Connaughton,SG,Milwaukee Bucks,,,
Stanley Umude,SG,Milwaukee Bucks,,,
Jamaree Bouyea,SG,Milwaukee Bucks,,,
Jalen Duren,C,Detroit Pistons,,,
Isaiah Stewart,C,Detroit Pistons,Knee,Out|Expected To Be Out Until At Least Oct 1,5/2/2025
Paul Reed,C,Detroit Pistons,,,
Tolu Smith III,C,Detroit Pistons,,,
Tobias Harris,PF,Detroit Pistons,,,
Simone Fontecchio,PF,Detroit Pistons,,,
Lindy Waters III,PF,Detroit Pistons,,,
Ausar Thompson,PF,Detroit Pistons,,,
Ron Holland II,PF,Detroit Pistons,,,
Bobi Klintman,PF,Detroit Pistons,,,
Isaiah Stewart,PF,Detroit Pistons,Knee,Out|Expected To Be Out Until At Least Oct 1,5/2/2025
Tim Hardaway Jr.,PF,Detroit Pistons,,,
Ron Harper Jr.,PF,Detroit Pistons,,,
Cade Cunningham,PG,Detroit Pistons,,,
Dennis Schroder,PG,Detroit Pistons,,,
Marcus Sasser,PG,Detroit Pistons,,,
Jaden Ivey,PG,Detroit Pistons,Lower Leg,Out|Expected To Be Out Until At Least Oct 1,5/2/2025
Daniss Jenkins,PG,Detroit Pistons,,,
Ausar Thompson,SF,Detroit Pistons,,,
Ron Holland II,SF,Detroit Pistons,,,
Tim Hardaway Jr.,SF,Detroit Pistons,,,
Malik Beasley,SF,Detroit Pistons,,,
Simone Fontecchio,SF,Detroit Pistons,,,
Lindy Waters III,SF,Detroit Pistons,,,
Tobias Harris,SF,Detroit Pistons,,,
Bobi Klintman,SF,Detroit Pistons,,,
Cade Cunningham,SF,Detroit Pistons,,,
Ron Harper Jr.,SF,Detroit Pistons,,,
Tim Hardaway Jr.,SG,Detroit Pistons,,,
Malik Beasley,SG,Detroit Pistons,,,
Marcus Sasser,SG,Detroit Pistons,,,
Dennis Schroder,SG,Detroit Pistons,,,
Lindy Waters III,SG,Detroit Pistons,,,
Cade Cunningham,SG,Detroit Pistons,,,
Jaden Ivey,SG,Detroit Pistons,Lower Leg,Out|Expected To Be Out Until At Least Oct 1,5/2/2025
Daniss Jenkins,SG,Detroit Pistons,,,
Mark Williams,C,Charlotte Hornets,,,
Jusuf Nurkic,C,Charlotte Hornets,,,
Moussa Diabate,C,Charlotte Hornets,,,
Taj Gibson,C,Charlotte Hornets,,,
Tidjane Salauen,C,Charlotte Hornets,,,
DaQuan Jeffries,C,Charlotte Hornets,,,
Grant Williams,C,Charlotte Hornets,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Miles Bridges,PF,Charlotte Hornets,Hip,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Tidjane Salauen,PF,Charlotte Hornets,,,
Wendell Moore Jr.,PF,Charlotte Hornets,,,
DaQuan Jeffries,PF,Charlotte Hornets,,,
Josh Green,PF,Charlotte Hornets,Shoulder,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Moussa Diabate,PF,Charlotte Hornets,,,
Josh Okogie,PF,Charlotte Hornets,,,
Brandon Miller,PF,Charlotte Hornets,Wrist,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Grant Williams,PF,Charlotte Hornets,Knee,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
KJ Simpson,PG,Charlotte Hornets,,,
Damion Baugh,PG,Charlotte Hornets,,,
Jaylen Sims,PG,Charlotte Hornets,,,
Nick Smith Jr.,PG,Charlotte Hornets,Groin,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Wendell Moore Jr.,PG,Charlotte Hornets,,,
LaMelo Ball,PG,Charlotte Hornets,Ankle,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Tre Mann,PG,Charlotte Hornets,Back,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Josh Green,SF,Charlotte Hornets,Shoulder,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
DaQuan Jeffries,SF,Charlotte Hornets,,,
Josh Okogie,SF,Charlotte Hornets,,,
Wendell Moore Jr.,SF,Charlotte Hornets,,,
Nick Smith Jr.,SF,Charlotte Hornets,Groin,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Tidjane Salauen,SF,Charlotte Hornets,,,
Miles Bridges,SF,Charlotte Hornets,Hip,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Seth Curry,SF,Charlotte Hornets,,,
Brandon Miller,SF,Charlotte Hornets,Wrist,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Nick Smith Jr.,SG,Charlotte Hornets,Groin,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Seth Curry,SG,Charlotte Hornets,,,
Josh Green,SG,Charlotte Hornets,Shoulder,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Josh Okogie,SG,Charlotte Hornets,,,
Damion Baugh,SG,Charlotte Hornets,,,
Wendell Moore Jr.,SG,Charlotte Hornets,,,
Jaylen Sims,SG,Charlotte Hornets,,,
DaQuan Jeffries,SG,Charlotte Hornets,,,
Brandon Miller,SG,Charlotte Hornets,Wrist,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Tre Mann,SG,Charlotte Hornets,Back,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Jeremy Sochan,C,San Antonio Spurs,Back,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Bismack Biyombo,C,San Antonio Spurs,,,
Charles Bassey,C,San Antonio Spurs,,,
Sandro Mamukelashvili,C,San Antonio Spurs,,,
Victor Wembanyama,C,San Antonio Spurs,Shoulder,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Harrison Barnes,PF,San Antonio Spurs,,,
Sandro Mamukelashvili,PF,San Antonio Spurs,,,
Jeremy Sochan,PF,San Antonio Spurs,Back,Out|Expected To Be Out Until At Least Oct 1,4/23/2025
Keldon Johnson,PF,San Antonio Spurs,,,
Julian Champagnie,PF,San Antonio Spurs,,,
Harrison Ingram,PF,San Antonio Spurs,,,
Riley Minix,PF,San Antonio Spurs,Shoulder,Out|Expected To Be Out Until At Least Jul 1,4/23/2025
Chris Paul,PG,San Antonio Spurs,,,
Blake Wesley,PG,San Antonio Spurs,,,
Stephon Castle,PG,San Antonio Spurs,,,
Jordan McLaughlin,PG,San Antonio Spurs,,,
Malaki Branham,PG,San Antonio Spurs,,,
